Frame,Penting
1,FALSE
2,FALSE
3,FALSE
4,FALSE
5,FALSE
6,FALSE
7,FALSE
8,FALSE
9,FALSE
10,FALSE
11,FALSE
12,FALSE
13,FALSE
14,FALSE
15,FALSE
16,FALSE
17,FALSE
18,FALSE
19,FALSE
20,FALSE
21,FALSE
22,FALSE
23,FALSE
24,FALSE
25,FALSE
26,FALSE
27,FALSE
28,FALSE
29,FALSE
30,FALSE
31,FALSE
32,FALSE
33,FALSE
34,FALSE
35,FALSE
36,FALSE
37,FALSE
38,FALSE
39,FALSE
40,FALSE
41,FALSE
42,FALSE
43,FALSE
44,FALSE
45,FALSE
46,FALSE
47,FALSE
48,FALSE
49,FALSE
50,FALSE
51,FALSE
52,FALSE
53,FALSE
54,FALSE
55,FALSE
56,FALSE
57,FALSE
58,FALSE
59,FALSE
60,FALSE
61,FALSE
62,FALSE
63,FALSE
64,FALSE
65,FALSE
66,FALSE
67,FALSE
68,FALSE
69,FALSE
70,FALSE
71,FALSE
72,FALSE
73,FALSE
74,FALSE
75,FALSE
76,FALSE
77,FALSE
78,FALSE
79,TRUE
80,TRUE
81,TRUE
82,TRUE
83,TRUE
84,TRUE
85,TRUE
86,TRUE
87,TRUE
88,TRUE
89,TRUE
90,TRUE
91,TRUE
92,TRUE
93,TRUE
94,TRUE
95,TRUE
96,TRUE
97,TRUE
98,TRUE
99,TRUE
100,TRUE
101,TRUE
102,TRUE
103,TRUE
104,TRUE
105,TRUE
106,TRUE
107,TRUE
108,TRUE
109,TRUE
110,TRUE
111,TRUE
112,TRUE
113,TRUE
114,TRUE
115,TRUE
116,TRUE
117,TRUE
118,TRUE
119,TRUE
120,TRUE
121,TRUE
122,TRUE
123,TRUE
124,TRUE
125,TRUE
126,TRUE
127,TRUE
128,TRUE
129,TRUE
130,TRUE
131,TRUE
132,TRUE
133,TRUE
134,TRUE
135,TRUE
136,TRUE
137,TRUE
138,TRUE
139,TRUE
140,TRUE
141,TRUE
142,TRUE
143,TRUE
144,TRUE
145,TRUE
146,TRUE
147,TRUE
148,TRUE
149,TRUE
150,TRUE
151,TRUE
152,TRUE
153,TRUE
154,TRUE
155,TRUE
156,TRUE
157,TRUE
158,TRUE
159,TRUE
160,TRUE
161,TRUE
162,TRUE
163,TRUE
164,TRUE
165,TRUE
166,TRUE
167,TRUE
168,TRUE
169,TRUE
170,TRUE
171,TRUE
172,TRUE
173,TRUE
174,TRUE
175,TRUE
176,TRUE
177,TRUE
178,TRUE
179,TRUE
180,TRUE
181,TRUE
182,TRUE
